Repository	# of Vuls Originally	# of Vuls after Fix	Initial Audit	After i package-lock	After audit fix															
jsonschema	0	0	ERR	No Vul (Changed)	No Vul															
bignumberjs	0	0	ERR	No Vul (Changed)	No Vul															
eslintpluginpromise	0	0	ERR	No Vul (Changed)	No Vul															
nodeschedule	0	0	ERR	No Vul (Changed)	No Vul															
d3shape	0	0	ERR	No Vul (Changed)	No Vul															
rc	0	0	ERR	No Vul (Changed)	No Vul															
mapstream	0	0	ERR	No Vul (Changed)	No Vul															
tarfs	0	0	ERR	No Vul (Changed)	No Vul															
readlinesync	0	0	ERR	No Vul (Changed)	No Vul															
toughcookie	0	0	ERR	No Vul (Changed)	No Vul															
tmp	0	0	ERR	No Vul (Changed)	No Vul															
jsbase64	0	0	ERR	No Vul (Changed)	No Vul															
inert	0	0	ERR	No Vul (Changed)	No Vul															
fluentffmpeg	0	0	ERR	No Vul (Changed)	No Vul															
blessed	0	0	ERR	No Vul (Changed)	No Vul															
cors	0	0	ERR	No Vul (Changed)	No Vul															
connectredis	0	0	ERR	No Vul (Changed)	No Vul															
jasminecore	0	0	ERR	No Vul (Changed)	No Vul															
gulpuglify	0	0	ERR	No Vul (Changed)	No Vul															
cookieparser	0	0	ERR	No Vul (Changed)	No Vul															
level	0	0	ERR	No Vul (Changed)	No Vul															
axios	0	0	ERR	No Vul (Changed)	No Vul															
ssh2	0	0	ERR	No Vul (Changed)	No Vul															
boom	0	0	ERR	No Vul (Changed)	No Vul															
leaflet	0	0	ERR	No Vul (Changed)	No Vul															
csv	0	0	ERR	No Vul (Changed)	No Vul															
yargsparser	0	0	ERR	No Vul (Changed)	No Vul															
bnjs	0	0	ERR	No Vul (Changed)	No Vul															
jsyaml	0	0	ERR	No Vul (Changed)	No Vul															
postcssimport	0	0	ERR	No Vul (Changed)	No Vul															
eslintpluginjest	0	0	ERR	No Vul (Changed)	No Vul															
typeis	0	0	ERR	No Vul (Changed)	No Vul															
sanitizehtml	0	0	ERR	No Vul (Changed)	No Vul															
hoek	0	0	ERR	No Vul (Changed)	No Vul															
csvparse	0	0	ERR	No Vul (Changed)	No Vul															
morgan	0	0	ERR	No Vul (Changed)	No Vul															
redis	0	0	ERR	No Vul (Changed)	No Vul															
mysql	0	0	ERR	No Vul (Changed)	No Vul															
oclifpluginhelp	0	0	ERR	No Vul (Changed)	No Vul															
mimetypes	0	0	ERR	No Vul (Changed)	No Vul															
imagesize	0	0	ERR	No Vul (Changed)	No Vul															
simplegit	0	0	ERR	No Vul (Changed)	No Vul															
expresssession	0	0	ERR	No Vul (Changed)	No Vul															
uglifyjs	0	0	ERR	No Vul (Changed)	No Vul															
cliux	0	0	ERR	No Vul (Changed)	No Vul															
nodemailer	0	0	ERR	No Vul (Changed)	No Vul															
joi	0	0	ERR	No Vul (Changed)	No Vul															
oclifcommand	0	0	ERR	No Vul (Changed)	No Vul															
bodyparser	0	0	ERR	No Vul (Changed)	No Vul															
d3	0	0	ERR	No Vul (Changed)	No Vul															
sharp	0	0	ERR	No Vul (Changed)	No Vul															
nanoid	0	0	ERR	No Vul (Changed)	No Vul															
puppeteer	0	0	ERR	No Vul (Changed)	No Vul															
oclifconfig	0	0	ERR	No Vul (Changed)	No Vul															
pg	0	0	ERR	No Vul (Changed)	No Vul															
googleapis	0	0	ERR	No Vul (Changed)	No Vul															
yargs	0	0	ERR	No Vul (Changed)	No Vul															
knex	0	0	ERR	No Vul (Changed)	No Vul															
graphqltools	0	0	ERR	No Vul (Changed)	No Vul															
autoprefixer	0	0	ERR	No Vul (Changed)	No Vul															
postcss	0	0	ERR	No Vul (Changed)	No Vul															
pm2	0	0	ERR	No Vul (Changed)	No Vul															
connect	0	0	ERR	No Vul (Changed)	No Vul															
querystring	0	0	ERR	No Vul (Changed)	No Vul															
jestwatchtypeahead	0	0	ERR	No Vul (Changed)	No Vul															
gruntcli	0	0	ERR	No Vul (Changed)	No Vul															
postcsssafeparser	0	0	ERR	No Vul (Changed)	No Vul															
postcssnested	0	0	ERR	No Vul (Changed)	No Vul															
gulploadplugins	0	0	ERR	No Vul (Changed)	No Vul															
jqueryui	0	0	ERR	No Vul (Changed)	No Vul															
nodesass	0	0	ERR	No Vul (Changed)	No Vul															
htmlentities	3	0	ERR	Vul Found (Changed)	No Vul (Changed)															
webpacksources	6	0	ERR	Vul Found (Changed)	No Vul (Changed)															
memoizeone	2	0	ERR	Vul Found (Changed)	No Vul (Changed)															
vuepropertydecorator	2	0	ERR	Vul Found (Changed)	No Vul (Changed)															
d3selection	4	0	ERR	Vul Found (Changed)	No Vul (Changed)															
fbjs	1	0	ERR	Vul Found (Changed)	No Vul (Changed)															
d3scale	5	0	ERR	Vul Found (Changed)	No Vul (Changed)															
shallowequal	6	0	ERR	Vul Found (Changed)	No Vul (Changed)															
reactnativevectoricons	6	0	ERR	Vul Found (Changed)	No Vul (Changed)															
lintstaged	5	0	ERR	Vul Found (Changed)	No Vul (Changed)															
objectassign	3	3	ERR	Vul Found (Changed)	Vul Found															
passportstrategy	6	6	ERR	Vul Found (Changed)	Vul Found															
connectflash	1	1	ERR	Vul Found (Changed)	Vul Found															
pathisabsolute	2	2	ERR	Vul Found (Changed)	Vul Found															
base64	8	8	ERR	Vul Found (Changed)	Vul Found															
gulpconflict	7	7	ERR	Vul Found (Changed)	Vul Found															
identityobjproxy	8	8	ERR	Vul Found (Changed)	Vul Found															
texttable	2	2	ERR	Vul Found (Changed)	Vul Found															
utilsmerge	6	6	ERR	Vul Found (Changed)	Vul Found															
sha1	3	3	ERR	Vul Found (Changed)	Vul Found															
utf8	5	5	ERR	Vul Found (Changed)	Vul Found															
babelplugintransformdecoratorslegacy	6	6	ERR	Vul Found (Changed)	Vul Found															
jsonstringifysafe	5	5	ERR	Vul Found (Changed)	Vul Found															
validurl	3	3	ERR	Vul Found (Changed)	Vul Found															
once	14	14	ERR	Vul Found (Changed)	Vul Found															
assertplus	1	1	ERR	Vul Found (Changed)	Vul Found															
randombytes	27	27	ERR	Vul Found (Changed)	Vul Found															
memoryfs	16	13	ERR	Vul Found (Changed)	Vul Found															
pkginfo	2	2	ERR	Vul Found (Changed)	Vul Found															
nprogress	6	6	ERR	Vul Found (Changed)	Vul Found															
looseenvify	14	14	ERR	Vul Found (Changed)	Vul Found															
validatenpmpackagename	14	14	ERR	Vul Found (Changed)	Vul Found															
extendshallow	4	4	ERR	Vul Found (Changed)	Vul Found															
wordwrap	4	4	ERR	Vul Found (Changed)	Vul Found															
passportlocal	5	5	ERR	Vul Found (Changed)	Vul Found															
fspromise	4	4	ERR	Vul Found (Changed)	Vul Found															
read	8	8	ERR	Vul Found (Changed)	Vul Found															
keycode	4	4	ERR	Vul Found (Changed)	Vul Found															
passportoauth2	5	5	ERR	Vul Found (Changed)	Vul Found															
isobject	5	5	ERR	Vul Found (Changed)	Vul Found															
contenttype	5	5	ERR	Vul Found (Changed)	Vul Found															
ip	5	5	ERR	Vul Found (Changed)	Vul Found															
clitable2	10	10	ERR	Vul Found (Changed)	Vul Found															
process	27	27	ERR	Vul Found (Changed)	Vul Found															
gulpinstall	7	7	ERR	Vul Found (Changed)	Vul Found															
reacttapeventplugin	1	1	ERR	Vul Found (Changed)	Vul Found															
minimist	2	2	ERR	Vul Found (Changed)	Vul Found															
invariant	9	9	ERR	Vul Found (Changed)	Vul Found															
requestpromisenative	12	12	ERR	Vul Found (Changed)	Vul Found															
yamljs	2	2	ERR	Vul Found (Changed)	Vul Found															
reactlifecyclescompat	23	5	ERR	Vul Found (Changed)	Vul Found															
postcssflexbugsfixes	6	3	ERR	Vul Found (Changed)	Vul Found															
ncp	3	3	ERR	Vul Found (Changed)	Vul Found															
