Repository	Lock-Commit	Lock-Period	Lock-Time	First-Commit-Time	Lock-Committed-After
gulpeslint	b8bf2617be7d58a4002da45e5665c0a3ba60f91a	Jun||2017	2017-06-12 05:27:32	2013-12-28 13:39:10	True
terserwebpackplugin	7cdb65a4c12e1974de6d250e5fc484728fd03f40	Aug||2018	2018-08-01 16:59:44	2018-08-01 16:59:44	False
litelement	041fd048746392be6d32b8a3cf253d8656879230	Sep||2017	2017-09-02 12:15:44	2017-09-02 12:15:44	False
uuid	c0d44fda8abeac5eb1444f03a135f8a6353854da	Jan||2018	2018-01-16 06:44:16	2010-12-28 11:06:46	True
lessloader	643c00b55048e0408c053b5608c6b43bed372049	Jul||2017	2017-07-10 02:43:21	2012-05-01 15:43:58	True
stylelintconfigstandard	708cb8a4b53b82fc0e2e982908c988a2b539541d	Apr||2020	2020-04-03 17:06:48	2016-01-11 18:10:57	True
showdown	8366b6cb485a861400aff20106af76edc5a88097	May||2018	2018-05-07 19:34:51	2008-11-13 13:40:18	True
coveralls	bd667c617bbf5ff921f6b3734a991cde874db320	May||2018	2018-05-01 15:51:15	2013-03-14 19:10:50	True
bcrypt	a78d381b748b49ded79957a35c9d56be42f0fa57	Jun||2018	2018-06-29 14:02:37	2010-04-13 01:32:04	True
rollupplugincommonjs	d81bca9448fc713b1646cae1eb6ff7bac3a69cd5	Aug||2017	2017-08-03 08:52:43	2015-10-21 15:28:57	True
gulpwatch	39e30a2bc5eb229229bf8cbbebbd6d77c5e34025	Nov||2020	2020-11-30 12:24:06	2014-01-18 22:29:41	True
babelpluginlodash	2f72dca81eb9464601c1673ba140e72ad7c227d7	Jun||2017	2017-06-19 10:07:29	2015-07-30 13:56:52	True
nodenotifier	2bc9b3eff83aed0498abc58b7828466087fc2ef3	Jul||2017	2017-07-06 08:15:35	2012-12-01 04:20:49	True
xml2js	c6071f3232f500a05fc8472d40d2b8c1fc4ccdf5	Aug||2019	2019-08-30 00:03:51	2010-07-17 02:04:32	True
commontags	1e8168660a0127263798ef34b6ee3e6b4622a0a5	Dec||2017	2017-12-21 10:31:56	2015-10-23 19:00:52	True
semver	e1c49c8dea7e75f0f341b98260098731e7f12519	Jul||2017	2017-07-24 09:39:10	2011-02-11 15:41:41	True
yaml	2efcadb47310d3b615ead2d608ed8367b0849ee5	Jan||2018	2018-01-25 19:54:44	2018-01-13 16:35:52	True
needle	2ca2136a972b687512bf2a0d4be86ae86693f874	Sep||2018	2018-09-10 17:59:15	2011-12-11 02:09:57	True
eventstream	a74c9b2ab433c4e36089fbb72931f6b786b550f5	Sep||2018	2018-09-04 08:12:15	2011-08-20 11:38:02	True
elliptic	271fd3423185c632e54dad4feb1aa65da46cf742	Jun||2019	2019-06-25 21:03:18	2014-04-22 16:42:30	True
copywebpackplugin	3a95eabd3b3001262bb74485cc0aabbc3339f1e1	Sep||2017	2017-09-29 13:22:00	2015-10-26 18:53:16	True
svgo	3488f00a070d24901d880c13c17b80fb9af28387	Feb||2019	2019-02-24 22:25:30	2012-08-22 03:41:43	True
commander	6106f10453a7178f0f64c7cf9aa4b459c1a29564	Jun||2017	2017-06-27 12:09:02	2011-08-14 11:40:38	True
cuid	bd4d92162b952f6e9a00fa7a5f2943e9683c0b8b	Aug||2017	2017-08-31 21:12:25	2012-08-31 19:24:07	True
htmlparser2	d7bb26484c0c282bff96f55ab72d766f865c9507	Oct||2018	2018-10-21 14:07:02	2010-03-31 16:05:01	True
webpackbundleanalyzer	d1ca51ec3f1c34f4468a32d0596d20d41c4a5997	Aug||2018	2018-08-26 00:00:10	2016-10-22 00:59:27	True
postcssloader	2ea3cf07d02797ee4f227af9a814b5ef358bcbd8	Aug||2020	2020-08-10 13:36:04	2014-10-03 19:10:42	True
lowdb	9fd9a7a2eb352db66e4ac14f0615371f816762ee	Jul||2017	2017-07-02 18:04:40	2014-04-02 04:16:59	True
highlightjs	460a96c683c95540441f18bebc231cf7e2166524	Sep||2018	2018-09-06 23:50:48	2006-08-19 12:20:57	True
reactdropzone	bc4325816a454cfbe39c45135c8eb98a782c312e	Nov||2019	2019-11-16 19:24:40	2014-09-27 17:28:37	True
chai	94eb738a2325181d53d31abedc7e9e775f1a0578	Jul||2017	2017-07-30 09:50:44	2011-12-06 08:18:01	True
gulptypescript	928c755dc24ffcd366c6c5ea480695cbf8e6aefe	Dec||2017	2017-12-27 14:10:19	2014-05-09 12:09:55	True
xmlbuilder	84b5133b131838d8e6b8773c1ff066815bad5d81	Feb||2020	2020-02-14 14:35:52	2010-11-01 20:02:37	True
soap	e6c78f46beb6f4682dfabb5a6b97c300355c3726	Jan||2018	2018-01-09 12:40:23	2011-04-08 00:44:13	True
chartjs	f68b8adaac713f4ce321f4f53fdcd319e021b584	Sep||2019	2019-09-04 04:44:01	2013-03-17 23:57:50	True
protobufjs	9726be0888a9461721447677e9dece16a682b9f6	Jun||2017	2017-06-09 12:14:26	2016-11-26 11:53:06	True
stylelintscss	0413f5403beef061f41119efe7c2583c3f5ffff8	Jul||2017	2017-07-29 18:23:34	2016-02-15 21:16:47	True
glob	057569cbcde510173a79b2d668e808023c09bb01	May||2017	2017-05-19 13:15:16	2009-11-01 21:03:59	True
