Repository	Tag	No. Of. Duplicates
cuid	v2.1.4	129
secp256k1	v4.0.2	63
secp256k1	v4.0.1	37
secp256k1	v4.0.0	37
secp256k1	v3.8.0	37
secp256k1	v3.7.1	37
postcssimport	14.0.2	14
postcssimport	14.0.1	14
postcssimport	14.0.0	14
postcssimport	13.0.0	14
postcssimport	12.0.1	14
polished	v3.7.2	618
polished	v4.1.3	618
polished	v4.1.2	618
polished	v4.1.1	618
polished	v3.7.1	618
htmlparser2	v6.1.0	51
htmlparser2	v6.0.1	50
htmlparser2	v6.0.0	50
htmlparser2	v5.0.1	50
htmlparser2	v5.0.0	50
webpackbundleanalyzer	v4.4.2	547
webpackbundleanalyzer	v4.4.1	547
webpackbundleanalyzer	v4.4.0	547
webpackbundleanalyzer	v4.3.0	547
webpackbundleanalyzer	v4.2.0	547
fusejs	v6.4.6	592
fusejs	v6.4.5	592
fusejs	v6.4.4	592
fusejs	v6.4.3	592
fusejs	v6.4.2	592
rcutil	v5.13.2	1495
rcutil	v5.13.1	1495
rcutil	v5.13.0	1495
rcutil	v5.12.2	1495
rcutil	v5.12.1	1495
postcssloader	v6.1.1	388
postcssloader	v6.1.0	388
postcssloader	v6.0.0	388
postcssloader	v4.3.0	388
postcssloader	v5.3.0	388
lowdb	v2.1.0	34
lowdb	v2.0.3	34
lowdb	v2.0.2	34
lowdb	v2.0.1	34
lowdb	v2.0.0	34
jshint	2.13.0	138
jshint	2.12.0	138
jshint	relicensing-2020	138
jshint	2.11.2	138
jshint	2.11.1	138
eslintpluginjest	v24.4.0	449
eslintpluginjest	v24.3.7	449
eslintpluginjest	v24.3.6	449
eslintpluginjest	v24.3.5	449
eslintpluginjest	v24.3.4	449
highlightjs	11.2.0	30
highlightjs	11.1.0	30
highlightjs	11.0.1	30
highlightjs	10.7.3	30
highlightjs	11.0.0	30
finalhandler	v1.1.2	16
finalhandler	v1.1.1	11
finalhandler	v1.1.0	8
finalhandler	v1.0.6	8
finalhandler	v1.0.5	8
readablestream	v3.6.0	273
readablestream	v3.5.0	272
readablestream	v2.3.7	89
readablestream	v3.4.0	253
readablestream	v3.3.0	231
reactdropzone	v11.3.3	810
reactdropzone	v11.3.4	810
reactdropzone	v11.3.2	810
reactdropzone	v11.3.1	810
reactdropzone	v11.3.0	810
istanbul	v0.4.5	32
istanbul	v1.1.0-alpha.1	37
istanbul	v0.4.4	37
istanbul	v0.4.3	37
istanbul	v0.4.2	37
typeis	1.6.19	47
typeis	1.6.18	14
typeis	1.6.17	14
typeis	1.6.16	27
typeis	1.6.15	19
serveindex	v1.9.1	0
serveindex	v1.9.0	0
serveindex	v1.8.0	0
serveindex	v1.7.3	0
serveindex	v1.7.2	0
chai	v4.3.4	44
chai	4.3.3	44
chai	4.3.2	44
chai	4.3.1	44
chai	4.3.0	44
gulptypescript	v5.0.1	167
gulptypescript	v5.0.0	167
gulptypescript	v5.0.0-alpha.3	167
gulptypescript	5.0.0-alpha.2	167
gulptypescript	v5.0.0-alpha.1	167
xmlbuilder	v15.1.1	25
xmlbuilder	v15.1.0	25
xmlbuilder	v15.0.1	25
xmlbuilder	v15.0.0	25
xmlbuilder	v14.0.0	25
